Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1210988,,9306,162 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,351000,53.5287128,-113.601705,POINT (-113.6017049837148 53.52871280352431),100,,,RESIDENTIAL,,
1310309,,10141,158 AVENUE NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,205500,53.61879064,-113.4983,POINT (-113.49830002095884 53.61879064397748),100,,,RESIDENTIAL,,
1075753,,9311,47 STREET NW,N,6180,EASTGATE BUSINESS PARK,Métis Ward,3919500,53.53067324,-113.4070819,POINT (-113.4070818521816 53.53067323917548),100,,,COMMERCIAL,,
1078666,,7720,152C AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,356500,53.61555029,-113.4629063,POINT (-113.46290629537125 53.61555028642588),100,,,RESIDENTIAL,,
1016328,,71,WOLF CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,734500,53.50707341,-113.5987645,POINT (-113.59876454288536 53.507073410394504),100,,,RESIDENTIAL,,
1132075,,14765,25 STREET NW,N,2280,FRASER,Dene Ward,151000,53.6107272,-113.3764747,POINT (-113.3764746669787 53.61072720326497),100,,,RESIDENTIAL,,
1042753,30,15710,BEAUMARIS ROAD NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,173000,53.61796617,-113.5032867,POINT (-113.50328670443773 53.61796617035923),100,,,RESIDENTIAL,,
1096809,,9411,177 AVENUE NW,N,2450,LAGO LINDO,tastawiyiniwak Ward,286500,53.63905925,-113.4866349,POINT (-113.48663493173635 53.63905924958141),100,,,RESIDENTIAL,,
1228907,31,18010,98 AVENUE NW,N,4240,LA PERLE,Nakota Isga Ward,166000,53.53457465,-113.6325667,POINT (-113.63256666859638 53.53457465481765),100,,,RESIDENTIAL,,
1201151,,9233,157 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,353000,53.52879405,-113.591479,POINT (-113.59147904361413 53.528794050041995),100,,,RESIDENTIAL,,
1281153,,9702,154 STREET NW,N,4580,WEST JASPER PLACE,Nakota Isga Ward,219000,53.53478522,-113.587298,POINT (-113.58729800399719 53.534785215976825),100,,,RESIDENTIAL,,
1133123,201,10743,107 STREET NW,N,1030,CENTRAL MCDOUGALL,O-day'min Ward,127500,53.55268326,-113.5042261,POINT (-113.50422606784788 53.552683258614444),100,,,RESIDENTIAL,,
1121268,,18708,95A AVENUE NW,N,4240,LA PERLE,Nakota Isga Ward,326000,53.53075033,-113.6460621,POINT (-113.64606206038906 53.53075033296832),100,,,RESIDENTIAL,,
1040617,,4621,74 AVENUE NW,N,6780,WEIR INDUSTRIAL,Métis Ward,1500,53.50983355,-113.4136558,POINT (-113.4136557750442 53.50983355339435),100,,,COMMERCIAL,,
1311810,,9835,163 STREET NW,Y,4180,GLENWOOD,Nakota Isga Ward,300000,53.53734772,-113.6021987,POINT (-113.6021987226392 53.53734772203228),100,,,RESIDENTIAL,,
1179126,,,,N,5480,STRATHCONA,papastew Ward,7000,53.52417325,-113.4926579,POINT (-113.4926579174034 53.5241732479624),100,,,RESIDENTIAL,,
1212604,7,10721,116 STREET NW,N,1180,QUEEN MARY PARK,O-day'min Ward,122500,53.55220315,-113.5207803,POINT (-113.52078031261819 53.552203149258474),100,,,RESIDENTIAL,,
1083369,,,,N,1150,OLIVER,O-day'min Ward,8000,53.54077191,-113.532136,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1181296,,7603,190 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,349000,53.51013173,-113.6510768,POINT (-113.65107677910117 53.51013173472294),100,,,RESIDENTIAL,,
1053818,,4136,38 STREET NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,279500,53.47832348,-113.3992501,POINT (-113.39925005642954 53.47832347554652),100,,,RESIDENTIAL,,
1154434,57,3221,119 STREET NW,N,5490,SWEET GRASS,Ipiihkoohkanipiaohtsi Ward,219000,53.46396914,-113.537559,POINT (-113.53755902168045 53.463969140466915),100,,,RESIDENTIAL,,
1057728,,28,KINISKI CRESCENT NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,287500,53.47896376,-113.4001199,POINT (-113.40011986007535 53.47896375662849),100,,,RESIDENTIAL,,
1209592,,7111,184 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,306000,53.50571364,-113.6404397,POINT (-113.64043965509495 53.50571364005606),100,,,RESIDENTIAL,,
1291301,31,9436,149 STREET NW,N,4500,SHERWOOD,sipiwiyiniwak Ward,53500,53.5306764,-113.5785122,POINT (-113.57851215939672 53.53067640218667),100,,,RESIDENTIAL,,
1027382,33,3812,20 AVENUE NW,N,6150,DALY GROVE,Sspomitapi Ward,158000,53.45176321,-113.4007963,POINT (-113.40079628530401 53.451763208012686),100,,,RESIDENTIAL,,
1115088,,201,GRANDISLE POINT NW,Y,4463,RIVERVIEW AREA,sipiwiyiniwak Ward,809000,53.4366475,-113.660835,POINT (-113.66083495994978 53.43664749694843),100,,,RESIDENTIAL,,
1215508,9,1503,MILL WOODS ROAD EAST NW,N,6140,CRAWFORD PLAINS,Sspomitapi Ward,139000,53.44341913,-113.4026104,POINT (-113.40261040343367 53.443419127027546),100,,,RESIDENTIAL,,
1025907,10,12715,81 STREET NW,N,2020,BALWIN,tastawiyiniwak Ward,63500,53.58543066,-113.4650379,POINT (-113.46503788755483 53.58543065508136),100,,,RESIDENTIAL,,
1283597,,7421,186 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,310500,53.50874284,-113.6439891,POINT (-113.6439890966229 53.508742836613756),100,,,RESIDENTIAL,,
1269422,,8921,151 STREET NW,N,4230,JASPER PARK,sipiwiyiniwak Ward,297500,53.5219814,-113.5810584,POINT (-113.5810583765544 53.521981400870594),100,,,RESIDENTIAL,,
1057900,,70,KINISKI CRESCENT NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,273000,53.47903246,-113.4018605,POINT (-113.40186046147454 53.47903245977804),100,,,RESIDENTIAL,,
1038660,202,12036,66 STREET NW,N,2550,MONTROSE,Métis Ward,79500,53.57462467,-113.4434274,POINT (-113.4434273893245 53.57462466870548),100,,,RESIDENTIAL,,
1306505,,9903,150 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,348000,53.53787782,-113.5792851,POINT (-113.5792850743281 53.537877820106345),100,,,RESIDENTIAL,,
1286988,1108,10145,121 STREET NW,N,1150,OLIVER,O-day'min Ward,97500,53.5421619,-113.5301833,POINT (-113.53018329065722 53.542161896253226),100,,,RESIDENTIAL,,
1119007,,20704,109 AVENUE NW,N,4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga Ward,82500,53.55721598,-113.6765806,POINT (-113.67658056554075 53.557215984972615),100,,,COMMERCIAL,,
1204759,,9305,159 STREET NW,N,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,338000,53.52923487,-113.5941275,POINT (-113.59412752814146 53.529234870682664),100,,,RESIDENTIAL,,
1124551,10,4403,RIVERBEND ROAD NW,N,5340,RAMSAY HEIGHTS,pihêsiwin Ward,190500,53.48156209,-113.5788299,POINT (-113.57882985906069 53.481562086954206),100,,,RESIDENTIAL,,
1014000,,190,WESTRIDGE ROAD NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,496500,53.51080864,-113.6129835,POINT (-113.61298350082286 53.51080863823914),100,,,RESIDENTIAL,,
1097492,,17720,92 STREET NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,550500,53.63962291,-113.4820507,POINT (-113.48205065030069 53.63962290770025),100,,,RESIDENTIAL,,
1356609,,15615,100A AVENUE NW,Y,4180,GLENWOOD,Nakota Isga Ward,247500,53.53998092,-113.5911749,POINT (-113.59117493341124 53.53998092232619),100,,,RESIDENTIAL,,
1219740,,9102,169 STREET NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,294500,53.52627471,-113.6144356,POINT (-113.6144356206094 53.52627471090203),100,,,RESIDENTIAL,,
1258474,,9149,154 STREET NW,N,4230,JASPER PARK,sipiwiyiniwak Ward,432000,53.52651691,-113.5863254,POINT (-113.58632537984155 53.52651691421922),100,,,RESIDENTIAL,,
1221555,,20410,107 AVENUE NW,N,4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga Ward,189500,53.55183171,-113.6724312,POINT (-113.6724311636087 53.551831711005214),100,,,COMMERCIAL,,
1207836,,7511,184 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,298500,53.50844224,-113.6412841,POINT (-113.64128409362631 53.50844223761575),100,,,RESIDENTIAL,,
1118645,,11230,201 STREET NW,N,4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga Ward,1377000,53.56096179,-113.6681709,POINT (-113.66817086765089 53.5609617899807),100,,,COMMERCIAL,,
1252279,,2921,199 STREET NW,N,4464,THE UPLANDS,sipiwiyiniwak Ward,197000,53.46114308,-113.6580955,POINT (-113.65809548358375 53.461143078658495),100,,,COMMERCIAL,,
1061704,,2209,114 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,230500,53.45318822,-113.5236036,POINT (-113.52360360493799 53.453188221007714),100,,,RESIDENTIAL,,
1242700,,16606,93 AVENUE NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,333000,53.52923978,-113.6095276,POINT (-113.60952760366568 53.5292397843891),100,,,RESIDENTIAL,,
1102276,,421,197 AVENUE NE,Y,2670,RURAL NORTH EAST HORSE HILL,Dene Ward,727000,53.65866787,-113.3397023,POINT (-113.3397022787241 53.65866786691369),100,,,RESIDENTIAL,,
1246933,211,4810,MILL WOODS ROAD SOUTH NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,94500,53.44606657,-113.4142418,POINT (-113.41424176621011 53.446066565934494),100,,,RESIDENTIAL,,
1178847,,,,N,5480,STRATHCONA,papastew Ward,7000,53.52417325,-113.4926579,POINT (-113.4926579174034 53.5241732479624),100,,,RESIDENTIAL,,
1060532,53,1415,62 STREET NW,N,6670,SAKAW,Karhiio Ward,142500,53.4437502,-113.4311812,POINT (-113.43118122055851 53.443750199003276),100,,,RESIDENTIAL,,
1294768,100,12225,STONY PLAIN ROAD NW,N,1150,OLIVER,O-day'min Ward,96000,53.54632952,-113.5336275,POINT (-113.53362754335504 53.54632952208474),100,,,RESIDENTIAL,,
1054857,,3510,41A AVENUE NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,289500,53.47738836,-113.3950027,POINT (-113.3950027029736 53.47738836422205),100,,,RESIDENTIAL,,
1030832,,3303,138 AVENUE NW,N,2320,HAIRSINE,Dene Ward,146500,53.60004587,-113.3926229,POINT (-113.39262285442952 53.600045869581564),100,,,RESIDENTIAL,,
1242684,91,2204,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,152000,53.45286153,-113.5330856,POINT (-113.53308555229285 53.45286153478377),100,,,RESIDENTIAL,,
1074376,,1301,78 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,1991000,53.51428972,-113.3644877,POINT (-113.36448769664653 53.514289719696066),100,,,COMMERCIAL,,
1160654,,16006,79A AVENUE NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,323000,53.51314286,-113.5990925,POINT (-113.59909253676246 53.51314286356771),100,,,RESIDENTIAL,,
1021096,,230,WOLF WILLOW CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,610500,53.50419201,-113.5971136,POINT (-113.59711360296164 53.50419201304325),100,,,RESIDENTIAL,,
1201482,,9210,156 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,301000,53.52750415,-113.5908592,POINT (-113.5908592443767 53.527504149389365),100,,,RESIDENTIAL,,
1147016,,16208,141 STREET NW,Y,3470,CARLTON,Anirniq Ward,132500,53.62411787,-113.5649196,POINT (-113.56491962316233 53.624117868569),100,,,COMMERCIAL,,
1181866,,7511,189 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,402000,53.50983069,-113.6495934,POINT (-113.64959340437673 53.50983069133817),100,,,RESIDENTIAL,,
1028752,50,10453,20 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,198500,53.44972173,-113.4984876,POINT (-113.49848762847681 53.44972173311874),100,,,RESIDENTIAL,,
1245737,106,1628,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,111500,53.44606657,-113.4142418,POINT (-113.41424176621011 53.446066565934494),100,,,RESIDENTIAL,,
1353648,218,10511,19 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,90000,53.4476592,-113.5019041,POINT (-113.50190409356722 53.44765919973268),100,,,RESIDENTIAL,,
1192400,,9124,175 AVENUE NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,339500,53.63686551,-113.4812625,POINT (-113.48126251873987 53.63686550644043),100,,,RESIDENTIAL,,
1225192,,2023,108 STREET NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,299500,53.45124436,-113.5051333,POINT (-113.50513330547763 53.45124436171314),100,,,RESIDENTIAL,,
1033463,,18419,96A AVENUE NW,Y,4240,LA PERLE,Nakota Isga Ward,308500,53.53200655,-113.6409644,POINT (-113.64096444067692 53.53200654767359),100,,,RESIDENTIAL,,
1091610,,14608,54 STREET NW,N,2130,CASSELMAN,Dene Ward,155500,53.60977005,-113.4227675,POINT (-113.42276746215013 53.60977005024769),100,,,RESIDENTIAL,,
1074996,,7911,25 STREET NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,1369500,53.51554073,-113.3806688,POINT (-113.38066881327573 53.51554073105457),100,,,COMMERCIAL,,
1182401,103,10330,116 STREET NW,N,1150,OLIVER,O-day'min Ward,101000,53.54533669,-113.521826,POINT (-113.52182596053272 53.54533669113939),100,,,RESIDENTIAL,,
1122092,303,11324,97 STREET NW,N,1230,SPRUCE AVENUE,O-day'min Ward,68500,53.56338272,-113.4923879,POINT (-113.49238794264247 53.56338272438405),100,,,RESIDENTIAL,,
1279280,10,1651,46 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,171000,53.44449555,-113.4080561,POINT (-113.40805607019388 53.44449555015787),100,,,RESIDENTIAL,,
1054568,,4121,38 STREET NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,301500,53.47753352,-113.3987205,POINT (-113.39872053807876 53.47753352071789),100,,,RESIDENTIAL,,
1024009,,,,N,6730,TERRACE HEIGHTS,Métis Ward,0,53.54068578,-113.4428923,POINT (-113.44289232037714 53.540685777270625),100,,,COMMERCIAL,,
1200450,,18604,55 AVENUE NW,N,4220,JAMIESON PLACE,sipiwiyiniwak Ward,306500,53.49185553,-113.6457297,POINT (-113.64572969266204 53.49185552764645),100,,,RESIDENTIAL,,
1098045,,9143,180A AVENUE NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,319000,53.64265981,-113.4812569,POINT (-113.48125688629082 53.64265981499808),100,,,RESIDENTIAL,,
1306604,306,11848,87 STREET NW,N,1100,EASTWOOD,Métis Ward,87500,53.57114551,-113.4749088,POINT (-113.47490878942168 53.5711455053695),100,,,RESIDENTIAL,,
1148485,,7919,159 STREET NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,327000,53.51396626,-113.5961892,POINT (-113.59618924667578 53.51396626073447),100,,,RESIDENTIAL,,
1209444,,18312,71A AVENUE NW,N,4270,LYMBURN,sipiwiyiniwak Ward,295000,53.50547496,-113.6392897,POINT (-113.63928971796868 53.505474962920616),100,,,RESIDENTIAL,,
1073485,,6305,34 STREET NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,1713000,53.500498,-113.3923531,POINT (-113.39235312900897 53.5004980020839),100,,,COMMERCIAL,,
1086438,807,12141,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,152000,53.54077191,-113.532136,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1012095,,11938,122 STREET NW,N,3350,PRINCE CHARLES,Anirniq Ward,253500,53.57311036,-113.5329527,POINT (-113.53295274611284 53.57311036052617),100,,,RESIDENTIAL,,
1284595,702,9816,112 STREET NW,N,1150,OLIVER,O-day'min Ward,111000,53.53612037,-113.5144923,POINT (-113.51449232375236 53.53612037305204),100,,,RESIDENTIAL,,
1191568,,17520,94 STREET NW,N,2450,LAGO LINDO,tastawiyiniwak Ward,293000,53.63811004,-113.4870708,POINT (-113.48707078285545 53.63811003973935),100,,,RESIDENTIAL,,
1296870,,9723,152 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,227000,53.53532999,-113.5828011,POINT (-113.58280110050664 53.53532998832061),100,,,RESIDENTIAL,,
1108190,,15419,76 AVENUE NW,Y,4430,RIO TERRACE,sipiwiyiniwak Ward,432500,53.50762834,-113.5882273,POINT (-113.58822726003214 53.50762833584191),100,,,RESIDENTIAL,,
1053925,,4214,38 STREET NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,284000,53.47932798,-113.3993903,POINT (-113.39939033405749 53.47932797818964),100,,,RESIDENTIAL,,
1273267,,9842,155 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,240000,53.53743125,-113.5890491,POINT (-113.5890490752282 53.53743124585636),100,,,RESIDENTIAL,,
1247378,202,1624,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,87500,53.44606657,-113.4142418,POINT (-113.41424176621011 53.446066565934494),100,,,RESIDENTIAL,,
1264233,,8911,150 STREET NW,N,4230,JASPER PARK,sipiwiyiniwak Ward,304500,53.52170613,-113.5792906,POINT (-113.57929058552229 53.52170612730059),100,,,RESIDENTIAL,,
1069202,,7303,4 AVENUE SW,N,6211,ELLERSLIE,Karhiio Ward,768500,53.42842263,-113.4502443,POINT (-113.4502442542003 53.42842263294333),100,,,RESIDENTIAL,,
1142983,,7031,189 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,378000,53.50471303,-113.6497583,POINT (-113.64975828650347 53.50471303163337),100,,,RESIDENTIAL,,
1086610,1104,12141,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,165500,53.54077191,-113.532136,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1281005,,11310,109 AVENUE NW,N,1180,QUEEN MARY PARK,O-day'min Ward,8933000,53.55511867,-113.5176884,POINT (-113.51768838241847 53.55511866592146),100,,,OTHER RESIDENTIAL,,
1187574,,8810,162 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,309500,53.52343538,-113.6016949,POINT (-113.60169491112924 53.523435377452245),100,,,RESIDENTIAL,,
1216332,64,1503,MILL WOODS ROAD EAST NW,N,6140,CRAWFORD PLAINS,Sspomitapi Ward,139000,53.44341913,-113.4026104,POINT (-113.40261040343367 53.443419127027546),100,,,RESIDENTIAL,,
1125087,,15232,85 AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,361000,53.51797255,-113.5843735,POINT (-113.58437352540277 53.517972551880966),100,,,RESIDENTIAL,,
1076819,,2633,121 AVENUE NE,N,2160,CLOVER BAR AREA,Dene Ward,1072000,53.57583903,-113.3037644,POINT (-113.30376443932415 53.57583903494558),100,,,COMMERCIAL,,
1259498,,9151,153 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,347500,53.52640008,-113.5845694,POINT (-113.5845694143827 53.52640007774399),100,,,RESIDENTIAL,,
1332063,,9910,164 STREET NW,Y,4180,GLENWOOD,Nakota Isga Ward,308000,53.53795581,-113.6048212,POINT (-113.60482121272825 53.537955812926626),100,,,RESIDENTIAL,,
